Class ID,Class Type,Class Title,Campus,Credits,Days,Time,Date,Instructor
CHEM325020L,LAB,Organic Chemistry Laboratory I,NEWRK,1 Hrs,MWF,12:00PM - 3:00PM,Jan 3 - Feb 4,"Sametz,Geoffrey Michael"
CHEM325021L,LAB,Organic Chemistry Laboratory I,NEWRK,1 Hrs,MWF,3:05PM - 6:05PM,Jan 3 - Feb 4,"Sametz,Geoffrey Michael"
CHEM326020L,LAB,Organic Chemistry Laboratory II,NEWRK,1 Hrs,MWF,9:30AM - 12:30PM,Jan 3 - Feb 4,"Sametz,Geoffrey Michael"
CHEM326021L,LAB,Organic Chemistry Laboratory II,NEWRK,1 Hrs,MWF,3:00PM - 6:00PM,Jan 3 - Feb 4,"Sametz,Geoffrey Michael"
CHEM468001,IND,Undergraduate Research,NEWRK,1-6 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CHIN205010,LEC,Chinese Conversation,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Yang,Haihong"
CIEG467010,LEC,SEMINAR: SAFETY INSPECTION OF BRIDGES,NEWRK,3 Hrs,MTWRF,8:00AM - 4:30PM,Jan 3 - Jan 14,"Lee II,Earl Eugene"
CIEG486070,LEC,Engineering Project Management,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Small,Edgar Parker"
CIEG492070,LEC,International Construction,NEWRK,3 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,"Small,Edgar Parker"
CIEG666000,IND,SPECIAL PROBLEM,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CIEG675010,LEC,Matlab for Engineering Analysis,NEWRK,3 Hrs,MTWRF,10:00AM - 11:45AM,Jan 3 - Feb 4,"Puleo,Jack A"
CIEG869000,IND,Master's Thesis,NEWRK,1-6 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CISC101010,LEC,Principles of Computing,NEWRK,3 Hrs,MTWRF,10:00AM - 11:30AM,Jan 3 - Feb 4,"Neff,Jean Marie"
CISC101020L,LAB,Principles of Computing,NEWRK,3 Hrs,TR,5:00PM - 6:30PM,Jan 3 - Feb 4,"Neff,Jean Marie"
CISC355010,LEC,"Computers, Ethics and Society",NEWRK,3 Hrs,MR,6:00PM - 10:00PM,Jan 3 - Feb 4,"Lynch,T Gregory"
CISC366000,IND,Independent Study,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CISC466000,IND,Independent Study,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CISC606010,LEC,Foundations in Programming,NEWRK,3 Hrs,TR,5:00PM - 7:30PM,Jan 3 - Feb 4,"Pollock,Lori"
CISC699000,IND,Graduate Internship,NEWRK,1 Hrs,TBD,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
CISC969000,IND,Doctoral Dissertation,NEWRK,1-12 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,Staff
COMM212010,LEC,Public Speaking & Professional Presentation,NEWRK,3 Hrs,,Canceled,,
COMM212061,LEC,Public Speaking & Professional Presentation,NEWRK,3 Hrs,MTWRF,10:00AM - 12:00PM,Jan 3 - Jan 28,"Mortenson,Steven Todd"
COMM230194,LEC,Communication and Interpersonal Behavior,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Caplan,Scott E"
COMM230195,LEC,Communication and Interpersonal Behavior,NEWRK,3 Hrs,ASYN,12:00AM - 12:00AM,Jan 3 - Feb 4,"Caplan,Scott E"
